number,value,datetime_start,datetime_complete,duration,params_L_ratio_thresh,params_dilate_amount,params_dilate_kernel_size,params_erode_amount,params_erode_before_dilate,params_erode_kernel_size,params_gaussian_blur_kernel_size,params_history,params_var_threshold,state
0,0.041755688393351684,2025-12-03 14:41:07.448594,2025-12-03 14:41:19.553038,0 days 00:00:12.104444,0.18777961900387644,2,7,3,True,3,17,390,2.670725380399041,COMPLETE
1,0.04202489083507631,2025-12-03 14:41:07.450082,2025-12-03 14:41:22.705598,0 days 00:00:15.255516,0.6115845525624852,5,9,4,False,11,19,814,17.951231738347836,COMPLETE
2,0.053982704648882864,2025-12-03 14:41:07.450815,2025-12-03 14:41:20.684306,0 days 00:00:13.233491,1.6788684013333284,4,13,1,True,3,11,947,47.80897169610499,COMPLETE
3,0.11986134125629491,2025-12-03 14:41:07.451628,2025-12-03 14:41:21.201974,0 days 00:00:13.750346,0.4122126835823569,3,15,3,True,1,15,565,19.20890177808014,COMPLETE
4,0.04723930055765994,2025-12-03 14:41:19.554703,2025-12-03 14:41:30.744513,0 days 00:00:11.189810,3.760265182430182,4,1,2,True,5,3,436,29.63928633957992,COMPLETE
5,0.04723930055765994,2025-12-03 14:41:20.685224,2025-12-03 14:41:35.077346,0 days 00:00:14.392122,2.5415286591293555,1,15,3,True,15,5,992,46.02356153400849,COMPLETE
6,0.04723930055765994,2025-12-03 14:41:21.202771,2025-12-03 14:41:34.512645,0 days 00:00:13.309874,4.420010708643055,2,5,1,True,15,19,279,40.31517271265922,COMPLETE
7,0.04723930055765994,2025-12-03 14:41:22.706917,2025-12-03 14:41:36.749164,0 days 00:00:14.042247,1.9673654831902747,4,9,4,True,9,9,682,29.288180862456628,COMPLETE
8,0.04723930055765994,2025-12-03 14:41:30.745626,2025-12-03 14:41:44.017441,0 days 00:00:13.271815,3.7210123597822684,1,1,4,True,7,19,318,24.66813382931771,COMPLETE
9,0.048589324231624896,2025-12-03 14:41:34.513539,2025-12-03 14:41:46.757302,0 days 00:00:12.243763,4.7063690283506485,5,5,3,False,1,13,941,3.6015848783773894,COMPLETE
10,0.04723930055765994,2025-12-03 14:41:35.078387,2025-12-03 14:41:47.770470,0 days 00:00:12.692083,4.727460062976703,2,3,2,False,7,19,509,36.60962832409056,COMPLETE
11,0.04733399752733773,2025-12-03 14:41:36.751265,2025-12-03 14:41:51.576462,0 days 00:00:14.825197,3.4256176324099523,3,9,2,False,15,17,512,21.060421234834102,COMPLETE
12,0.04723930055765994,2025-12-03 14:41:44.018346,2025-12-03 14:42:00.214550,0 days 00:00:16.196204,1.6297356458355152,5,15,2,True,7,15,400,36.564393526320714,COMPLETE
13,0.047231478193392254,2025-12-03 14:41:46.758050,2025-12-03 14:41:59.157806,0 days 00:00:12.399756,1.2962241983293274,2,5,5,False,5,17,120,3.725206467338291,COMPLETE
14,0.04485293692023877,2025-12-03 14:41:47.771390,2025-12-03 14:42:03.493262,0 days 00:00:15.721872,0.41965091319003767,5,9,5,False,11,17,742,4.714881664541349,COMPLETE
15,0.05232753313955972,2025-12-03 14:41:51.577244,2025-12-03 14:42:09.228303,0 days 00:00:17.651059,0.18818854118569783,5,11,5,False,11,25,750,7.57959524857387,COMPLETE
16,0.04454137402517141,2025-12-03 14:41:59.158693,2025-12-03 14:42:21.546626,0 days 00:00:22.387933,0.17262229819373642,5,11,5,False,11,45,726,13.065191074246915,COMPLETE
17,0.04398521346257436,2025-12-03 14:42:00.215535,2025-12-03 14:42:13.729808,0 days 00:00:13.514273,0.10086546793756557,2,11,4,False,11,7,736,11.617532905590041,COMPLETE
18,0.04683244883733165,2025-12-03 14:42:03.493988,2025-12-03 14:42:19.349947,0 days 00:00:15.855959,0.9295527497619023,2,11,4,False,11,25,785,12.593925248542766,COMPLETE
19,0.047173012678872056,2025-12-03 14:42:09.229530,2025-12-03 14:42:22.259032,0 days 00:00:13.029502,0.8682261455189403,2,7,4,False,11,7,147,13.400368197012615,COMPLETE
20,0.04719668692129629,2025-12-03 14:42:13.730590,2025-12-03 14:42:34.878365,0 days 00:00:21.147775,0.9175073104025508,3,7,4,False,13,45,861,14.271218773259832,COMPLETE
21,0.043548147490159936,2025-12-03 14:42:19.351624,2025-12-03 14:42:37.839776,0 days 00:00:18.488152,0.7852313701391511,3,7,4,False,3,45,154,15.751445986514025,COMPLETE
22,0.04444116293132987,2025-12-03 14:42:21.547399,2025-12-03 14:42:33.180247,0 days 00:00:11.632848,0.9088023997895907,3,7,4,True,3,3,862,18.002154801152315,COMPLETE
23,0.04723930055765994,2025-12-03 14:42:22.260028,2025-12-03 14:42:41.100032,0 days 00:00:18.840004,2.420300654562825,3,7,3,True,3,45,827,17.817022777701155,COMPLETE
24,0.04718189051978115,2025-12-03 14:42:33.181369,2025-12-03 14:42:46.251662,0 days 00:00:13.070293,0.6958767264545388,1,7,3,False,13,7,647,9.41001478740331,COMPLETE
25,0.04723930055765994,2025-12-03 14:42:34.879506,2025-12-03 14:42:47.569915,0 days 00:00:12.690409,2.497221455222628,1,13,3,False,9,7,620,8.798869576687048,COMPLETE
26,0.04814737215880135,2025-12-03 14:42:37.840693,2025-12-03 14:42:57.119892,0 days 00:00:19.279199,2.0774397714280974,4,7,3,False,3,45,225,9.230133560219283,COMPLETE
27,0.04474962515779804,2025-12-03 14:42:41.100923,2025-12-03 14:42:52.888478,0 days 00:00:11.787555,0.669100311518085,4,3,3,False,5,9,222,9.141378988132322,COMPLETE
28,0.04711724010941368,2025-12-03 14:42:46.252485,2025-12-03 14:42:57.687439,0 days 00:00:11.434954,1.3337509516684132,4,3,3,False,5,5,205,23.794818159735332,COMPLETE
29,0.04721792140151167,2025-12-03 14:42:47.570741,2025-12-03 14:42:59.812402,0 days 00:00:12.241661,1.3128928634532526,4,3,4,False,5,11,219,23.34223201584972,COMPLETE
30,0.056570749812604994,2025-12-03 14:42:52.889390,2025-12-03 14:43:05.662781,0 days 00:00:12.773391,1.3592459549626894,4,9,4,False,1,11,384,23.13639103823827,COMPLETE
31,0.051473813655158115,2025-12-03 14:42:57.120679,2025-12-03 14:43:09.488236,0 days 00:00:12.367557,1.2501961626344953,3,9,4,True,1,11,393,23.52217414023783,COMPLETE
32,0.051278731321678137,2025-12-03 14:42:57.688423,2025-12-03 14:43:10.133705,0 days 00:00:12.445282,1.355480592841497,3,9,1,True,1,11,378,26.877175391506782,COMPLETE
33,0.04980664062447434,2025-12-03 14:42:59.813267,2025-12-03 14:43:12.274540,0 days 00:00:12.461273,3.1306180458382653,3,9,1,True,1,13,383,29.36461714727768,COMPLETE
34,0.044262202099087974,2025-12-03 14:43:05.663801,2025-12-03 14:43:20.734387,0 days 00:00:15.070586,0.15987681303300721,2,13,4,False,13,13,919,16.253585840115214,COMPLETE
35,0.046569911353114474,2025-12-03 14:43:09.489463,2025-12-03 14:43:25.122882,0 days 00:00:15.633419,0.42884672462360096,2,13,5,False,13,13,582,16.98592617951865,COMPLETE
36,0.04670973734743265,2025-12-03 14:43:10.134581,2025-12-03 14:43:25.809388,0 days 00:00:15.674807,0.47792464398838413,2,13,5,False,13,13,596,15.81303496921031,COMPLETE
37,0.04672305410879629,2025-12-03 14:43:12.275520,2025-12-03 14:43:28.763839,0 days 00:00:16.488319,0.48911010461066895,2,13,5,False,13,19,571,15.882337704793034,COMPLETE
38,0.04573768610584558,2025-12-03 14:43:20.735185,2025-12-03 14:43:35.635580,0 days 00:00:14.900395,0.4845954203839758,2,11,5,False,9,19,550,6.147891176556361,COMPLETE
39,0.046088732375841754,2025-12-03 14:43:25.123841,2025-12-03 14:43:39.573097,0 days 00:00:14.449256,0.5332297358352606,2,11,3,True,9,19,495,5.63459691360136,COMPLETE
40,0.047107908512205386,2025-12-03 14:43:25.810222,2025-12-03 14:43:40.154023,0 days 00:00:14.343801,0.10770249430697403,1,11,4,True,9,19,474,6.0729135317534215,COMPLETE
41,0.04723930055765994,2025-12-03 14:43:28.764640,2025-12-03 14:43:42.958115,0 days 00:00:14.193475,1.6368033576965477,1,11,4,True,9,17,474,6.202715085928212,COMPLETE
42,0.04723930055765994,2025-12-03 14:43:35.636412,2025-12-03 14:43:48.160994,0 days 00:00:12.524582,1.7492454052863489,1,5,4,True,9,7,454,20.329566831410364,COMPLETE
43,0.04723930055765994,2025-12-03 14:43:39.574140,2025-12-03 14:43:52.714017,0 days 00:00:13.139877,1.812071564361377,1,5,4,True,7,17,298,20.449700912239813,COMPLETE
44,0.04723930055765994,2025-12-03 14:43:40.154978,2025-12-03 14:43:55.941890,0 days 00:00:15.786912,0.1878740391296277,1,5,4,False,15,17,995,20.27850706475266,COMPLETE
45,0.04634974089856878,2025-12-03 14:43:42.959034,2025-12-03 14:43:58.534356,0 days 00:00:15.575322,0.12177998084052966,3,5,4,False,15,15,965,20.261426998671695,COMPLETE
46,0.04479979811128208,2025-12-03 14:43:48.161898,2025-12-03 14:44:05.191884,0 days 00:00:17.029986,0.2262245809764617,2,15,4,False,15,15,936,11.280106201320853,COMPLETE
